Event ID,Disease,Serotype,lat,lon,Locality,Country,Region,Location,observation_date,report_date,Date,Species,Diagnosis Source,Humans Affected,Human Deaths
288337,Influenza - Avian,H5N8 HPAI,54.57,-1.07,Nr Yearby,U.K. of Great Britain and Northern Ireland,Europe,"Nr Yearby, U.K. of Great Britain and Northern Ireland, Europe",2021-02-03,2021-02-10,2021-02-03,"Domestic,Unspecified bird",OIE,0,0
288310,Influenza - Avian,H5N8 HPAI,50.16,-5.08,Nr Falmouth,U.K. of Great Britain and Northern Ireland,Europe,"Nr Falmouth, U.K. of Great Britain and Northern Ireland, Europe",2021-01-18,2021-02-05,2021-01-18,"Wild,Mute Swan:Cygnus olor(Anatidae)",OIE,0,0
288309,Influenza - Avian,H5N8 HPAI,56.01,-2.75,Nr North Berwick,U.K. of Great Britain and Northern Ireland,Europe,"Nr North Berwick, U.K. of Great Britain and Northern Ireland, Europe",2021-01-18,2021-02-05,2021-01-18,"Wild,Mute Swan:Cygnus olor(Anatidae)",OIE,0,0
288308,Influenza - Avian,H5N8 HPAI,52.86,-0.7,Nr Grantham,U.K. of Great Britain and Northern Ireland,Europe,"Nr Grantham, U.K. of Great Britain and Northern Ireland, Europe",2021-01-11,2021-02-05,2021-01-11,"Wild,Accipitridae (unidentified):Accipitridae (incognita)(Accipitridae)",OIE,0,0
288307,Influenza - Avian,H5N8 HPAI,53.93,-1.17,Nr York,U.K. of Great Britain and Northern Ireland,Europe,"Nr York, U.K. of Great Britain and Northern Ireland, Europe",2021-01-08,2021-02-05,2021-01-08,"Wild,Eurasian buzzard (common buzzard):Buteo buteo(Accipitridae)",OIE,0,0
288306,Influenza - Avian,H5N8 HPAI,57.43,-2.09,Nr Ellon,U.K. of Great Britain and Northern Ireland,Europe,"Nr Ellon, U.K. of Great Britain and Northern Ireland, Europe",2020-12-24,2021-02-05,2020-12-24,"Wild,Charadriidae (unidentified):Charadriidae (incognita)(Charadriidae)",OIE,0,0
288305,Influenza - Avian,H5N8 HPAI,50.16,-5.08,Nr Falmouth,U.K. of Great Britain and Northern Ireland,Europe,"Nr Falmouth, U.K. of Great Britain and Northern Ireland, Europe",2020-12-20,2021-02-05,2020-12-20,"Wild,Mute Swan:Cygnus olor(Anatidae)",OIE,0,0
288304,Influenza - Avian,H5N8 HPAI,54.98,-1.47,Nr Jarrow,U.K. of Great Britain and Northern Ireland,Europe,"Nr Jarrow, U.K. of Great Britain and Northern Ireland, Europe",2020-12-20,2021-02-05,2020-12-20,"Wild,Mute Swan:Cygnus olor(Anatidae)",OIE,0,0
288303,Influenza - Avian,H5N8 HPAI,52.45,0.36,Nr Littleport,U.K. of Great Britain and Northern Ireland,Europe,"Nr Littleport, U.K. of Great Britain and Northern Ireland, Europe",2020-12-10,2021-02-05,2020-12-10,"Wild,Whooper Swan:Cygnus cygnus(Anatidae)",OIE,0,0
288302,Influenza - Avian,H5N8 HPAI,52.22,-0.26,Nr Wyboston,U.K. of Great Britain and Northern Ireland,Europe,"Nr Wyboston, U.K. of Great Britain and Northern Ireland, Europe",2020-12-09,2021-02-05,2020-12-09,"Wild,Mute Swan:Cygnus olor(Anatidae)",OIE,0,0
288301,Influenza - Avian,H5N8 HPAI,51.75,0.59,Nr Maldon,U.K. of Great Britain and Northern Ireland,Europe,"Nr Maldon, U.K. of Great Britain and Northern Ireland, Europe",2020-12-09,2021-02-05,2020-12-09,"Wild,Whooper Swan:Cygnus cygnus(Anatidae)",OIE,0,0
288300,Influenza - Avian,H5N8 HPAI,52.52,0.06,Nr March,U.K. of Great Britain and Northern Ireland,Europe,"Nr March, U.K. of Great Britain and Northern Ireland, Europe",2020-12-08,2021-02-05,2020-12-08,"Wild,Eurasian buzzard (common buzzard):Buteo buteo(Accipitridae)",OIE,0,0
