"event_id","disease","serotype","lat","lon","locality","country","region","location","observation_date","report_date","display_date","species","diagnosis_source","humans_affected","humans_deaths"
293512,"Influenza - Avian","H5N5 HPAI",23.741082,120.242068,"Dongshi Township","Taiwan (Province of China)","Asia","Dongshi Township, Taiwan (Province of China), Asia","2021-03-30","2021-04-20","2021-03-30","Domestic,Unspecified bird","OIE",,
293511,"Influenza - Avian","H5N5 HPAI",23.693313,120.245038,"Dongshi Township","Taiwan (Province of China)","Asia","Dongshi Township, Taiwan (Province of China), Asia","2021-04-06","2021-04-20","2021-04-06","Domestic,Unspecified bird","OIE",,
291991,"Influenza - Avian","H5N5 HPAI",23.78093,120.30799,"Lunbei Township","Taiwan (Province of China)","Asia","Lunbei Township, Taiwan (Province of China), Asia","2021-02-09","2021-03-25","2021-02-09","Domestic,Unspecified bird","OIE",,
291990,"Influenza - Avian","H5N5 HPAI",23.86115,120.55782,"Beidou Township","Taiwan (Province of China)","Asia","Beidou Township, Taiwan (Province of China), Asia","2021-02-04","2021-03-25","2021-02-04","Domestic,Unspecified bird","OIE",,
291989,"Influenza - Avian","H5N2 HPAI",22.86326,120.32978,"Alian District","Taiwan (Province of China)","Asia","Alian District, Taiwan (Province of China), Asia","2021-01-21","2021-03-25","2021-01-21","Domestic,Unspecified bird","OIE",,
291334,"Influenza - Avian","H5N5 HPAI",23.7,120.2,"Taixi","Taiwan (Province of China)","Asia","Taixi, Taiwan (Province of China), Asia","2021-03-18","2021-03-21","2021-03-18","Domestic,Goose","National authorities",,
291333,"Influenza - Avian","H5N5 HPAI",23.7,120.2,"Taixi","Taiwan (Province of China)","Asia","Taixi, Taiwan (Province of China), Asia","2021-03-15","2021-03-18","2021-03-15","Domestic,Goose","National authorities",,
291332,"Influenza - Avian","H5N2 HPAI",25.0333,121.483,"Wanhua","Taiwan (Province of China)","Asia","Wanhua, Taiwan (Province of China), Asia","2021-03-09","2021-03-12","2021-03-09","Domestic,Unspecified bird","National authorities",,
290522,"Influenza - Avian","H5N5 HPAI",23.559408,120.472546,"Minxiong Township","Taiwan (Province of China)","Asia","Minxiong Township, Taiwan (Province of China), Asia","2021-01-11","2021-03-12","2021-01-11","Wild,Swan","OIE",,
290202,"Influenza - Avian","H5 HPAI",23.48,120.449722,"Aogu Wetlands","Taiwan (Province of China)","Asia","Aogu Wetlands, Taiwan (Province of China), Asia","2020-12-15","2020-12-15","2020-12-15","Wild,Northern pintail (Anas acuta)","National authorities",,
290201,"Influenza - Avian","H5N5 HPAI",23.778889,120.333056,"Lunbei","Taiwan (Province of China)","Asia","Lunbei, Taiwan (Province of China), Asia","2021-02-09","2021-02-12","2021-02-09","Domestic,Chicken","National authorities",,
290200,"Influenza - Avian","H5N5 HPAI",23.8747,120.5248,"Beidou","Taiwan (Province of China)","Asia","Beidou, Taiwan (Province of China), Asia","2021-02-04","2021-02-06","2021-02-04","Domestic,Goose","National authorities",,
290199,"Influenza - Avian","H5N2 HPAI",22.883333,120.333333,"Alian","Taiwan (Province of China)","Asia","Alian, Taiwan (Province of China), Asia","2021-01-21","2021-02-01","2021-01-21","Domestic,Goose","National authorities",,
290198,"Influenza - Avian","H5N5 HPAI",22.733333,120.483333,"Jiuru","Taiwan (Province of China)","Asia","Jiuru, Taiwan (Province of China), Asia","2021-01-15","2021-01-18","2021-01-15","Domestic,Chicken","National authorities",,
290197,"Influenza - Avian","H5N5 HPAI",23.48,120.449722,"Minxiong","Taiwan (Province of China)","Asia","Minxiong, Taiwan (Province of China), Asia","2021-01-11","2021-01-11","2021-01-11","Wild,Black Swan:Cygnus atratus(Anatidae)","National authorities",,
290196,"Influenza - Avian","H5N5 HPAI",23.702056,120.255583,"Dongshi","Taiwan (Province of China)","Asia","Dongshi, Taiwan (Province of China), Asia","2020-12-31","2021-01-03","2020-12-31","Domestic,Goose","National authorities",,
290195,"Influenza - Avian","H5N5 HPAI",22.820175,120.5979,"Gaoshu","Taiwan (Province of China)","Asia","Gaoshu, Taiwan (Province of China), Asia","2020-12-25","2020-12-31","2020-12-25","Domestic,Duck","National authorities",,
290194,"Influenza - Avian","H5N5 HPAI",22.7544,120.5724,"Yanpu","Taiwan (Province of China)","Asia","Yanpu, Taiwan (Province of China), Asia","2020-12-25","2020-12-31","2020-12-25","Domestic,Duck","National authorities",,
290193,"Influenza - Avian","H5N5 HPAI",23.642008,120.322899,"Yuanchang","Taiwan (Province of China)","Asia","Yuanchang, Taiwan (Province of China), Asia","2020-12-21","2020-12-24","2020-12-21","Domestic,Goose","National authorities",,
290192,"Influenza - Avian","H5N5 HPAI",23.848333,120.308889,"Dacheng","Taiwan (Province of China)","Asia","Dacheng, Taiwan (Province of China), Asia","2020-12-19","2020-12-23","2020-12-19","Domestic,Chicken","National authorities",,
290191,"Influenza - Avian","H5N5 HPAI",23.642008,120.322899,"Yuanchang","Taiwan (Province of China)","Asia","Yuanchang, Taiwan (Province of China), Asia","2020-11-23","2020-11-26","2020-11-23","Domestic,Goose","National authorities",,
290190,"Influenza - Avian","H5N5 HPAI",23.45,120.3333,"Taibao","Taiwan (Province of China)","Asia","Taibao, Taiwan (Province of China), Asia","2020-11-22","2020-11-24","2020-11-22","Domestic,Goose","National authorities",,
290189,"Influenza - Avian","H5N5 HPAI",25.0333,121.483,"Wanhua","Taiwan (Province of China)","Asia","Wanhua, Taiwan (Province of China), Asia","2020-11-14","2020-11-16","2020-11-14","Domestic,Chicken","National authorities",,
290188,"Influenza - Avian","H5N5 HPAI",25.011111,121.445833,"Taishan","Taiwan (Province of China)","Asia","Taishan, Taiwan (Province of China), Asia","2020-11-13","2020-11-16","2020-11-13","Domestic,Chicken","National authorities",,
