Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
1,2020-11-02,LITORAL,SP11016,1,0.2135,1,17.1571,7.7123
2,2020-11-02,CAMPIÑA,SP11020,1,0.2157,2,13.5714,9.5457
3,2020-11-02,ALMONTE (ENTORNO DE DOÑANA),SP21005,1,0.2362,2,13.5571,9.5539
4,2020-11-02,BADAJOZ,SP06015,1,0.1226,1,11.7429,10.6774
5,2020-11-02,UTRERA (BAJO GUADALQUIVIR),SP41095,1,0.225,2,13.7571,9.4394
6,2020-11-02,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,1,0.2254,2,14.4857,9.0359
1,2020-11-09,CARTAYA (COSTA OCCIDENTAL),SP21021,1,0.204,1,13.4571,9.6118
2,2020-11-09,ARABA-ALAVA,SP01059,1,0.1001,1,5.6857,16.3492
3,2020-11-09,BADAJOZ,SP06015,1,0.338,3,10.5143,11.5416
4,2020-11-09,MADRID (C.U.),SP28079,1,0.2752,4,5.7429,16.271
5,2020-11-09,TALAVERA DE LA REINA,SP45165,1,0.1118,1,7.8714,13.8055
6,2020-11-09,DON BENITO,SP06044,1,0.2115,2,10.7429,11.3734
7,2020-11-09,ARANJUEZ,SP28013,1,0.1151,2,4.7571,17.7436
8,2020-11-09,LITORAL,SP11016,1,0.5864,5,15.0571,8.7333
9,2020-11-09,CAMPIÑA,SP11020,1,0.6885,5,8.4286,13.2707
10,2020-11-09,O SAR-BARBANZA,SP15065,1,0.1323,1,10.5571,11.5098
11,2020-11-09,COLMENAR VIEJO,SP28045,1,0.0985,1,7.3571,14.3338
12,2020-11-09,ALMONTE (ENTORNO DE DOÑANA),SP21005,1,0.9591,5,11.8286,10.6205
13,2020-11-09,DONOSTIALDEA-BIDASOA,SP20063,1,0.1045,1,12.5143,10.1799
14,2020-11-09,GUADALAJARA,SP19130,1,0.0487,1,1.7714,25.4686
15,2020-11-09,MANZANARES,SP13053,1,0.2758,4,6.0857,15.8175
16,2020-11-09,UTRERA (BAJO GUADALQUIVIR),SP41095,1,0.61,5,10.5429,11.5204
17,2020-11-09,CAMPO DE GIBRALTAR,SP11004,1,0.1531,1,13.3429,9.6785
18,2020-11-09,TORRELAVEGA,SP39087,1,0.1163,1,12,10.508
19,2020-11-09,SIERO,SP33066,1,0.084,1,9.4,12.4177
20,2020-11-09,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,1,0.6343,5,11.7714,10.6584
21,2020-11-09,MONTSIA (AMPOSTA),SP43014,1,0.244,2,10.6714,11.4256
22,2020-11-09,SELVA (SANTA COLOMA DE FARNERS),SP17180,1,0.0657,1,6.2667,15.5884
23,2020-11-09,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,1,0.0855,1,8.4714,13.231
24,2020-11-09,SAHAGUN,SP24139,1,0.1474,3,3.2714,20.6715
25,2020-11-09,EJEA DE LOS CABALLEROS,SP50095,1,0.0655,1,4.2857,18.5597
26,2020-11-09,ARGANDA DEL REY,SP28014,1,0.1433,2,4.6429,17.9337
27,2020-11-09,CACERES,SP10037,1,0.1739,2,9.6143,12.2414
28,2020-11-09,MERIDA,SP06083,1,0.1583,1,9.6143,12.2414
29,2020-11-09,TRUJILLO,SP10195,1,0.157,1,10.7429,11.3734
30,2020-11-09,VERIN,SP32085,1,0.0831,1,5.1857,17.069
31,2020-11-09,ANTEQUERA (ANTEQUERA),SP29015,1,0.0805,1,8.1714,13.513
32,2020-11-09,SEGRIA (LLEIDA),SP25120,1,0.0757,1,5.2286,17.0046
33,2020-11-09,SANTA FE (VEGA DE GRANADA),SP18175,1,0.078,1,4.1857,18.7443
34,2020-11-09,ALT EMPORDA (FIGUERES),SP17066,1,0.1207,1,7.0714,14.6436
35,2020-11-09,DAROCA,SP50094,1,0.1028,2,3.5429,20.0482
36,2020-11-09,TAUSTE,SP50252,1,0.0659,1,4.2857,18.5597
