Nº,Fecha,Comarca,ID CG,Nº brotes,Nº mov. Riesgo,Grado alerta,Temperatura estimada,Supervivencia del virus en días
1,2021-03-01,ALMONTE (ENTORNO DE DO├æANA),SP21005,2,0.4933,5,8.4286,13.2707
2,2021-03-01,LITORAL,SP11016,2,0.7269,5,12.4714,10.2067
3,2021-03-01,CARTAYA (COSTA OCCIDENTAL),SP21021,2,0.2089,2,9.4714,12.3585
4,2021-03-01,MADRID (C.U.),SP28079,2,0.3593,5,2.2,23.7743
5,2021-03-01,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,2,0.5747,5,7.6286,14.0505
6,2021-03-01,GIJON,SP33024,2,0.1446,1,9.3857,12.4295
7,2021-03-01,VIGO-O BAIXO MI├æO,SP36039,2,0.1079,1,7.1571,14.5494
8,2021-03-01,UTRERA (BAJO GUADALQUIVIR),SP41095,2,0.4504,5,7.3143,14.3795
9,2021-03-01,O SAR-BARBANZA,SP15065,2,0.113,1,6.5714,15.217
10,2021-03-01,CACERES,SP10037,2,0.1016,1,4.6143,17.982
11,2021-03-01,MANZANARES,SP13053,2,0.2341,4,3.1429,20.9851
12,2021-03-01,MERIDA,SP06083,2,0.1743,3,4.6143,17.982
13,2021-03-01,ZAMORA,SP49275,2,0.046,1,2.8143,21.8486
14,2021-03-01,COLMENAR VIEJO,SP28045,2,0.3006,5,4.5571,18.0794
15,2021-03-01,BADAJOZ,SP06015,2,0.1679,2,5.5429,16.5482
16,2021-03-01,MALAGA (GUADAHORCE ORIENTAL),SP29067,2,0.1534,1,13.7429,9.4475
17,2021-03-01,DON BENITO,SP06044,2,0.1134,1,5.7429,16.271
18,2021-03-01,ARANJUEZ,SP28013,2,0.1571,3,3.1429,20.9851
19,2021-03-01,LA JANDA,SP11023,2,0.1086,1,10.5143,11.5416
20,2021-03-01,POSADAS (VEGA DEL GUADALQUIVIR),SP14053,2,0.1569,2,5.5429,16.5482
21,2021-03-01,SALAMANCA,SP37274,2,0.0738,3,0.2143,41.9863
22,2021-03-01,ARABA-ALAVA,SP01059,2,0.3695,5,3.7,19.7088
23,2021-03-01,CAMPI├æA,SP11020,2,0.6175,5,6.5714,15.217
24,2021-03-01,TALAVERA DE LA REINA,SP45165,2,0.1715,3,4.8286,17.627
25,2021-03-01,CAMPO DE GIBRALTAR,SP11004,2,0.2445,2,11.3857,10.9189
26,2021-03-01,ARGANDA DEL REY,SP28014,2,0.0818,2,1.6571,25.9902
27,2021-03-01,SANTO DOMINGO DE LA CALZADA,SP26138,2,0.0265,1,-0.0143,66
28,2021-03-01,PE├æARROYA-PUEBLONUEVO (VALLE DEL GUADIATO),SP14052,2,0.0861,1,5.5429,16.5482
29,2021-03-01,DONOSTIALDEA-BIDASOA,SP20063,2,0.1088,1,8.6857,13.0357
30,2021-03-01,B├ëJAR,SP37046,2,0.0206,1,-1.2429,66
31,2021-03-01,MONTSIA (AMPOSTA),SP43014,2,0.2686,3,8.6,13.1132
32,2021-03-01,TRUJILLO,SP10195,2,0.0864,1,5.7429,16.271
33,2021-03-01,REINOSA,SP39059,2,0.1211,2,2.2,23.7743
34,2021-03-01,SIERO,SP33066,2,0.0727,1,7.0,14.723
35,2021-03-01,SEGRIA (LLEIDA),SP25120,2,0.1092,1,4.9286,17.4667
36,2021-03-01,CANTILLANA (VEGA DE SEVILLA),SP41023,2,0.0726,1,7.6286,14.0505
37,2021-03-01,SIGUENZA,SP19257,2,0.0192,1,-0.6286,66
38,2021-03-01,CASTUERA,SP06036,2,0.1014,1,5.7429,16.271
39,2021-03-01,GUADALAJARA,SP19130,2,0.0755,4,-0.6286,66
40,2021-03-01,ALCALA DE HENARES,SP28005,2,0.0443,1,1.6571,25.9902
41,2021-03-01,CARMONA (LOS ARCORES),SP41024,2,0.1864,2,7.6286,14.0505
42,2021-03-01,BA├æEZA LA,SP24010,2,0.0303,2,-1.1857,66
43,2021-03-01,ALT EMPORDA (FIGUERES),SP17066,2,0.1814,2,6.4571,15.3542
44,2021-03-01,COGOLLUDO,SP19092,2,0.0241,1,0.1429,45.157
45,2021-03-01,OSONA (VIC),SP08298,2,0.0677,1,3.9571,19.1834
46,2021-03-01,CALZADA DE CALATRAVA,SP13027,2,0.0658,1,3.5714,19.9854
47,2021-03-01,SAHAGUN,SP24139,2,0.0938,2,1.0857,29.2969
48,2021-03-01,CUENCA,SP16078,2,0.0449,1,0.5143,35.1401
ID,Nº Alerta,Comarca,ID CG,Event ID,Reporting date,Observational date,Country,Location,Latitud,Longitud,An. Type,Species,Cases,Deaths,Especie movimiento,Cód.  Especie,Prob mov semanal
0,1,ALMONTE (ENTORNO DE DO├æANA),SP21005,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,1,ALMONTE (ENTORNO DE DO├æANA),SP21005,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,2,LITORAL,SP11016,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,2,LITORAL,SP11016,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,3,CARTAYA (COSTA OCCIDENTAL),SP21021,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,3,CARTAYA (COSTA OCCIDENTAL),SP21021,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,4,MADRID (C.U.),SP28079,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,4,MADRID (C.U.),SP28079,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,5,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,5,SANLUCAR LA MAYOR (PONIENTE DE SEVILLA),SP41087,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,6,GIJON,SP33024,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,6,GIJON,SP33024,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,7,VIGO-O BAIXO MI├æO,SP36039,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,7,VIGO-O BAIXO MI├æO,SP36039,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,8,UTRERA (BAJO GUADALQUIVIR),SP41095,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,8,UTRERA (BAJO GUADALQUIVIR),SP41095,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,9,O SAR-BARBANZA,SP15065,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,9,O SAR-BARBANZA,SP15065,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,10,CACERES,SP10037,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,10,CACERES,SP10037,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,11,MANZANARES,SP13053,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
1,11,MANZANARES,SP13053,293278,2021-02-24,2021-02-24,Finland,Helsinki,60.2214,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
0,12,MERIDA,SP06083,293282,2021-02-25,2021-02-25,Finland,Helsinki,60.1922,25.0256,Wild,Larus ridibundus,1,1,Gaviota reidora  2015-2019,5820,0.7505
